סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
780 ,אורה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1245 ,121 ,244 ,464 ,136 ,124 ,156
783 ,אבן ספיר ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,688 ,49 ,133 ,226 ,97 ,67 ,116
784 ,בית נחמיה ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,898 ,77 ,166 ,268 ,134 ,111 ,142
785 ,אחיהוד ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1074 ,123 ,213 ,412 ,115 ,97 ,114
786 ,כפר זיתים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,780 ,90 ,199 ,253 ,61 ,61 ,116
787 ,גבעת יערים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1254 ,96 ,250 ,424 ,140 ,145 ,199
788 ,זיתן ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,1091 ,90 ,216 ,379 ,134 ,88 ,184
789 ,רנן ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,691 ,51 ,169 ,241 ,90 ,60 ,80
791 ,משען ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,984 ,77 ,210 ,343 ,108 ,114 ,132
792 ,נתיב השיירה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,510 ,31 ,95 ,174 ,51 ,52 ,107
793 ,גבעתי ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1034 ,100 ,262 ,344 ,117 ,85 ,126
794 ,עגור ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,500 ,48 ,123 ,173 ,58 ,43 ,55
795 ,יערה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,956 ,67 ,216 ,377 ,105 ,77 ,114
796 ,צלפון ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1047 ,78 ,269 ,344 ,128 ,73 ,155
797 ,אחיעזר ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,2115 ,314 ,536 ,717 ,160 ,173 ,215
798 ,יגל ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,902 ,68 ,206 ,307 ,110 ,90 ,121
799 ,זכריה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1095 ,88 ,248 ,370 ,130 ,128 ,131
800 ,בית חנניה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,872 ,66 ,188 ,295 ,100 ,101 ,122
801 ,חמד ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,1220 ,146 ,385 ,377 ,144 ,47 ,121
802 ,גבעת כ"ח ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,1004 ,110 ,215 ,343 ,101 ,105 ,130
803 ,יושיביה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,752 ,60 ,269 ,234 ,83 ,40 ,66
804 ,אחיסמך ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,1306 ,119 ,320 ,447 ,141 ,118 ,161
805 ,ישעי ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,921 ,110 ,231 ,311 ,88 ,71 ,110
